Districts,id,cases,Population,Ratio
Bagerhat,Bagerhat-1,433,1601000,0.000270456
Bagerhat,Bagerhat-2,433,1601000,0.000270456
Bagerhat,Bagerhat-3,433,1601000,0.000270456
Bagerhat,Bagerhat-4,433,1601000,0.000270456
Bagerhat,Bagerhat-5,433,1601000,0.000270456
Bagerhat,Bagerhat-6,433,1601000,0.000270456
Bagerhat,Bagerhat-7,433,1601000,0.000270456
Bagerhat,Bagerhat-8,433,1601000,0.000270456
Bandarban,Bandarban-1,507,434000,0.001168203
Bandarban,Bandarban-2,507,434000,0.001168203
Bandarban,Bandarban-3,507,434000,0.001168203
Bandarban,Bandarban-4,507,434000,0.001168203
Bandarban,Bandarban-5,507,434000,0.001168203
Bandarban,Bandarban-6,507,434000,0.001168203
Bandarban,Bandarban-7,507,434000,0.001168203
Barguna,Barguna-1,511,969000,0.000527348
Barguna,Barguna-2,511,969000,0.000527348
Barguna,Barguna-3,511,969000,0.000527348
Barguna,Barguna-4,511,969000,0.000527348
Barguna,Barguna-5,511,969000,0.000527348
Barisal,Barisal-1,1686,2583000,0.000652729
Barisal,Barisal-2,1686,2583000,0.000652729
Barisal,Barisal-3,1686,2583000,0.000652729
Barisal,Barisal-4,1686,2583000,0.000652729
Barisal,Barisal-5,1686,2583000,0.000652729
Barisal,Barisal-6,1686,2583000,0.000652729
Barisal,Barisal-7,1686,2583000,0.000652729
Barisal,Barisal-8,1686,2583000,0.000652729
Barisal,Barisal-9,1686,2583000,0.000652729
Barisal,Barisal-10,1686,2583000,0.000652729
Bhola,Bhola-1,471,1941000,0.000242658
Bhola,Bhola-2,471,1941000,0.000242658
Bhola,Bhola-3,471,1941000,0.000242658
Bhola,Bhola-4,471,1941000,0.000242658
Bhola,Bhola-5,471,1941000,0.000242658
Bhola,Bhola-6,471,1941000,0.000242658
Bhola,Bhola-7,471,1941000,0.000242658
Bogra,Bogra-1,4311,3724000,0.001157626
Bogra,Bogra-2,4311,3724000,0.001157626
Bogra,Bogra-3,4311,3724000,0.001157626
Bogra,Bogra-4,4311,3724000,0.001157626
Bogra,Bogra-5,4311,3724000,0.001157626
Bogra,Bogra-6,4311,3724000,0.001157626
Bogra,Bogra-7,4311,3724000,0.001157626
Bogra,Bogra-8,4311,3724000,0.001157626
Bogra,Bogra-9,4311,3724000,0.001157626
Bogra,Bogra-10,4311,3724000,0.001157626
Bogra,Bogra-11,4311,3724000,0.001157626
Brahmanbaria,Brahmanbaria-1,1509,3255000,0.000463594
Brahmanbaria,Brahmanbaria-2,1509,3255000,0.000463594
