,Districts,id
0,Bagerhat,Bagerhat-1
1,Bagerhat,Bagerhat-2
2,Bagerhat,Bagerhat-3
3,Bagerhat,Bagerhat-4
4,Bagerhat,Bagerhat-5
5,Bagerhat,Bagerhat-6
6,Bagerhat,Bagerhat-7
7,Bagerhat,Bagerhat-8
8,Bandarban,Bandarban-1
9,Bandarban,Bandarban-2
10,Bandarban,Bandarban-3
11,Bandarban,Bandarban-4
12,Bandarban,Bandarban-5
13,Bandarban,Bandarban-6
14,Bandarban,Bandarban-7
15,Barguna,Barguna-1
16,Barguna,Barguna-2
17,Barguna,Barguna-3
18,Barguna,Barguna-4
19,Barguna,Barguna-5
20,Barisal,Barisal-1
21,Barisal,Barisal-2
22,Barisal,Barisal-3
23,Barisal,Barisal-4
24,Barisal,Barisal-5
25,Barisal,Barisal-6
26,Barisal,Barisal-7
27,Barisal,Barisal-8
28,Barisal,Barisal-9
29,Barisal,Barisal-10
30,Bhola,Bhola-1
31,Bhola,Bhola-2
32,Bhola,Bhola-3
33,Bhola,Bhola-4
34,Bhola,Bhola-5
35,Bhola,Bhola-6
36,Bhola,Bhola-7
37,Bogra,Bogra-1
38,Bogra,Bogra-2
39,Bogra,Bogra-3
40,Bogra,Bogra-4
41,Bogra,Bogra-5
42,Bogra,Bogra-6
43,Bogra,Bogra-7
44,Bogra,Bogra-8
45,Bogra,Bogra-9
46,Bogra,Bogra-10
47,Bogra,Bogra-11
48,Brahmanbaria,Brahmanbaria-1
49,Brahmanbaria,Brahmanbaria-2
50,Brahmanbaria,Brahmanbaria-3
51,Brahmanbaria,Brahmanbaria-4
52,Brahmanbaria,Brahmanbaria-5
53,Brahmanbaria,Brahmanbaria-6
54,Brahmanbaria,Brahmanbaria-7
55,Chandpur,Chandpur-1
56,Chandpur,Chandpur-2
57,Chandpur,Chandpur-3
58,Chandpur,Chandpur-4
59,Chandpur,Chandpur-5
60,Chandpur,Chandpur-6
61,Chandpur,Chandpur-7
62,Chittagong,Chittagong-1
63,Chittagong,Chittagong-2
64,Chittagong,Chittagong-3
65,Chittagong,Chittagong-4
66,Chittagong,Chittagong-5
67,Chittagong,Chittagong-6
68,Chittagong,Chittagong-7
69,Chittagong,Chittagong-8
70,Chittagong,Chittagong-9
71,Chittagong,Chittagong-10
72,Chittagong,Chittagong-11
73,Chittagong,Chittagong-12
74,Chittagong,Chittagong-13
75,Chittagong,Chittagong-14
76,Chittagong,Chittagong-15
77,Chuadanga,Chuadanga-1
78,Chuadanga,Chuadanga-2
79,Chuadanga,Chuadanga-3
80,Chuadanga,Chuadanga-4
81,Comilla,Comilla-1
82,Comilla,Comilla-2
83,Comilla,Comilla-3
84,Comilla,Comilla-4
85,Comilla,Comilla-5
86,Comilla,Comilla-6
87,Comilla,Comilla-7
88,Comilla,Comilla-8
89,Comilla,Comilla-9
90,Comilla,Comilla-10
91,Comilla,Comilla-11
92,Comilla,Comilla-12
93,Cox's Bazar,Cox's Bazar-1
94,Cox's Bazar,Cox's Bazar-2
95,Cox's Bazar,Cox's Bazar-3
96,Cox's Bazar,Cox's Bazar-4
97,Cox's Bazar,Cox's Bazar-5
98,Cox's Bazar,Cox's Bazar-6
99,Cox's Bazar,Cox's Bazar-7
100,Dhaka,Dhaka-1
101,Dhaka,Dhaka-2
102,Dhaka,Dhaka-3
103,Dhaka,Dhaka-4
104,Dhaka,Dhaka-5
105,Dhaka,Dhaka-6
106,Dinajpur,Dinajpur-1
107,Dinajpur,Dinajpur-2
108,Dinajpur,Dinajpur-3
109,Dinajpur,Dinajpur-4
110,Dinajpur,Dinajpur-5
111,Dinajpur,Dinajpur-6
112,Dinajpur,Dinajpur-7
113,Dinajpur,Dinajpur-8
114,Dinajpur,Dinajpur-9
115,Dinajpur,Dinajpur-10
116,Dinajpur,Dinajpur-11
117,Dinajpur,Dinajpur-12
118,Dinajpur,Dinajpur-13
119,Faridpur,Faridpur-1
120,Faridpur,Faridpur-2
121,Faridpur,Faridpur-3
122,Faridpur,Faridpur-4
123,Faridpur,Faridpur-5
124,Faridpur,Faridpur-6
125,Faridpur,Faridpur-7
126,Faridpur,Faridpur-8
127,Feni,Feni-1
128,Feni,Feni-2
129,Feni,Feni-3
130,Feni,Feni-4
131,Feni,Feni-5
132,Gaibandha,Gaibandha-1
133,Gaibandha,Gaibandha-2
134,Gaibandha,Gaibandha-3
135,Gaibandha,Gaibandha-4
136,Gaibandha,Gaibandha-5
137,Gaibandha,Gaibandha-6
138,Gaibandha,Gaibandha-7
139,Gazipur,Gazipur-1
140,Gazipur,Gazipur-2
141,Gazipur,Gazipur-3
142,Gazipur,Gazipur-4
143,Gazipur,Gazipur-5
144,Gopalganj,Gopalganj-1
145,Gopalganj,Gopalganj-2
146,Gopalganj,Gopalganj-3
147,Gopalganj,Gopalganj-4
148,Gopalganj,Gopalganj-5
149,Habiganj,Habiganj-1
150,Habiganj,Habiganj-2
151,Habiganj,Habiganj-3
152,Habiganj,Habiganj-4
153,Habiganj,Habiganj-5
154,Habiganj,Habiganj-6
155,Habiganj,Habiganj-7
156,Habiganj,Habiganj-8
157,Jamalpur,Jamalpur-1
158,Jamalpur,Jamalpur-2
159,Jamalpur,Jamalpur-3
160,Jamalpur,Jamalpur-4
161,Jamalpur,Jamalpur-5
162,Jamalpur,Jamalpur-6
163,Jamalpur,Jamalpur-7
164,Jessore,Jessore-1
165,Jessore,Jessore-2
166,Jessore,Jessore-3
167,Jessore,Jessore-4
168,Jessore,Jessore-5
169,Jessore,Jessore-6
170,Jessore,Jessore-7
171,Jessore,Jessore-8
172,Jhalokati,Jhalokati-1
173,Jhalokati,Jhalokati-2
174,Jhalokati,Jhalokati-3
175,Jhalokati,Jhalokati-4
176,Jhenaidah,Jhenaidah-1
177,Jhenaidah,Jhenaidah-2
178,Jhenaidah,Jhenaidah-3
179,Jhenaidah,Jhenaidah-4
180,Jhenaidah,Jhenaidah-5
181,Jhenaidah,Jhenaidah-6
182,Joypurhat,Joypurhat-1
183,Joypurhat,Joypurhat-2
184,Joypurhat,Joypurhat-3
185,Joypurhat,Joypurhat-4
186,Joypurhat,Joypurhat-5
187,Khagrachhari,Khagrachhari-1
188,Khagrachhari,Khagrachhari-2
189,Khagrachhari,Khagrachhari-3
190,Khagrachhari,Khagrachhari-4
191,Khagrachhari,Khagrachhari-5
192,Khagrachhari,Khagrachhari-6
193,Khagrachhari,Khagrachhari-7
194,Khagrachhari,Khagrachhari-8
195,Khulna,Khulna-1
196,Khulna,Khulna-2
197,Khulna,Khulna-3
198,Khulna,Khulna-4
199,Khulna,Khulna-5
200,Khulna,Khulna-6
201,Khulna,Khulna-7
202,Khulna,Khulna-8
203,Khulna,Khulna-9
204,Khulna,Khulna-10
205,Kishoreganj,Kishoreganj-1
206,Kishoreganj,Kishoreganj-2
207,Kishoreganj,Kishoreganj-3
208,Kishoreganj,Kishoreganj-4
209,Kishoreganj,Kishoreganj-5
210,Kishoreganj,Kishoreganj-6
211,Kishoreganj,Kishoreganj-7
212,Kishoreganj,Kishoreganj-8
213,Kishoreganj,Kishoreganj-9
214,Kishoreganj,Kishoreganj-10
215,Kishoreganj,Kishoreganj-11
216,Kishoreganj,Kishoreganj-12
217,Kishoreganj,Kishoreganj-13
218,Kurigram,Kurigram-1
219,Kurigram,Kurigram-2
220,Kurigram,Kurigram-3
221,Kurigram,Kurigram-4
222,Kurigram,Kurigram-5
223,Kurigram,Kurigram-6
224,Kurigram,Kurigram-7
225,Kurigram,Kurigram-8
226,Kurigram,Kurigram-9
227,Kushtia,Kushtia-1
228,Kushtia,Kushtia-2
229,Kushtia,Kushtia-3
230,Kushtia,Kushtia-4
231,Kushtia,Kushtia-5
232,Kushtia,Kushtia-6
233,Lakshmipur,Lakshmipur-1
234,Lakshmipur,Lakshmipur-2
235,Lakshmipur,Lakshmipur-3
236,Lakshmipur,Lakshmipur-4
237,Lalmonirhat,Lalmonirhat-1
238,Lalmonirhat,Lalmonirhat-2
239,Lalmonirhat,Lalmonirhat-3
240,Lalmonirhat,Lalmonirhat-4
241,Lalmonirhat,Lalmonirhat-5
242,Madaripur,Madaripur-1
243,Madaripur,Madaripur-2
244,Madaripur,Madaripur-3
245,Madaripur,Madaripur-4
246,Magura,Magura-1
247,Magura,Magura-2
248,Magura,Magura-3
249,Magura,Magura-4
250,Manikganj,Manikganj-1
251,Manikganj,Manikganj-2
252,Manikganj,Manikganj-3
253,Manikganj,Manikganj-4
254,Manikganj,Manikganj-5
255,Manikganj,Manikganj-6
256,Manikganj,Manikganj-7
257,Maulvibazar,Maulvibazar-1
258,Maulvibazar,Maulvibazar-2
259,Maulvibazar,Maulvibazar-3
260,Maulvibazar,Maulvibazar-4
261,Maulvibazar,Maulvibazar-5
262,Maulvibazar,Maulvibazar-6
263,Meherpur,Meherpur-1
264,Meherpur,Meherpur-2
265,Munshiganj,Munshiganj-1
